CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION
016|UNIVERSIDAD NACIONAL DE CAJAMARCA|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.167159|-78.4965043
109|UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|SAN BORJA|-12.1108862|-76.9912619
067A|UNIVERSIDAD CONTINENTAL S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.0474789|-75.1990181
041|UNIVERSIDAD NACIONAL DE TUMBES|PÚBLICO|LICENCIA OTORGADA|6|TUMBES|TUMBES|TUMBES|-3.585267|-80.443305
070|UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.|PRIVADO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|CAJAMARCA|CAJAMARCA|CAJAMARCA|-7.156522|-78.5145522
144|UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|CUSCO|CUSCO|-13.5242195|-71.9436937
149|FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LIMA|LIMA|PUEBLO LIBRE|-12.0836439|-77.0692178
143|UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-8.1150054|-79.0319286
104|UNIVERSIDAD LE CORDON BLEU S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|MAGDALENA DEL MAR|-12.0985893|-77.05636
006|UNIVERSIDAD NACIONAL DE INGENIERÍA|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|RÍMAC|-12.0220074|-77.0493646
038|UNIVERSIDAD PERUANA UNIÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.989087|-76.839662
083|UNIVERSIDAD PRIVADA TELESUP S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0640089|-77.0345749
141|UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CALLAO|PROV. CONST. DEL CALLAO|CALLAO|-12.0614969|-77.1471769
018|UNIVERSIDAD DE LIMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.0847243|-76.9710095
005|UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA|PÚBLICO|LICENCIA OTORGADA|10|AREQUIPA|AREQUIPA|AREQUIPA|-16.4027681|-71.5255001
148|ASOCIACIÓN ESCUELA SUPERIOR DE TEOLOGÍA EVANGÉLICA NO ESTATAL SEMINARIO BÍBLICO ANDINO|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|PUEBLO LIBRE|-12.0696208|-77.0533978
063A|GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|ICA|ICA|ICA|-14.0767829|-75.7338981
032|UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN|PÚBLICO|LICENCIA OTORGADA|6|TACNA|TACNA|TACNA|-18.0251828|-70.2505031
050A|UNIVERSIDAD CIENTÍFICA DEL PERÚ|PRIVADO|INFORME DE VERIFICACIÓN PRESENCIAL (IVP)|0|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.769188297|-73.28203694
040|UNIVERSIDAD TECNOLÓGICA DE LOS ANDES|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|APURÍMAC|ABANCAY|ABANCAY|-13.6322998|-72.88715942
114|UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|CUSCO|CUSCO|-13.52546307|-71.95167842
113|UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.0825774|-77.0462745
044|UNIVERSIDAD PARTICULAR DE CHICLAYO|PRIVADO|LICENCIA DENEGADA|0|LAMBAYEQUE|CHICLAYO|PIMENTEL|-6.790111|-79.8783334
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|LIMA|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991
121|UNIVERSIDAD NACIONAL DE BARRANCA|PÚBLICO|LICENCIA OTORGADA|6|LIMA|BARRANCA|BARRANCA|-10.7543002|-77.7582572
090|UNIVERSIDAD PRIVADA DE TRUJILLO|PRIVADO|LICENCIA DENEGADA|0|LA LIBERTAD|TRUJILLO|LAREDO|-8.1081445|-78.99437
011|UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA|PÚBLICO|LICENCIA OTORGADA|8|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.764503718|-73.27086457
057|UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.072888|-76.9516609
043|UNIVERSIDAD PRIVADA DE TACNA|PRIVADO|LICENCIA OTORGADA|6|TACNA|TACNA|POCOLLAY|-18.0058389|-70.2254838
008|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|PRIVADO|LICENCIA OTORGADA|10|LIMA|LIMA|SAN MIGUEL|-12.0693438|-77.080122
137A|UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AMAZONAS|UTCUBAMBA|BAGUA GRANDE|-5.7566749|-78.443932
064A|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|CHORRILLOS|-12.196162|-77.006245
030|UNIVERSIDAD RICARDO PALMA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.1318458|-76.9796463
009|UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA|PÚBLICO|LICENCIA DENEGADA|0|ICA|ICA|ICA|-14.0871322|-75.7335148
103|UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0739859|-77.0358612
068|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|VILLA EL SALVADOR|-12.2215281|-76.9766998
039|UNIVERSIDAD ANDINA DEL CUSCO|PRIVADO|LICENCIA OTORGADA|6|CUSCO|CUSCO|SAN JERÓNIMO|-13.5375735|-71.9038466
059|UNIVERSIDAD ALAS PERUANAS S.A.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.08137781|-77.04667389
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA|-8.1293904|-79.0433213
075|UNIVERSIDAD NACIONAL AMAZÓNICA DE MADRE DE DIOS|PÚBLICO|LICENCIA OTORGADA|6|MADRE DE DIOS|TAMBOPATA|TAMBOPATA|-12.5885658|-69.2095274
094|UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.771757644|-73.28343169
077|UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|APURÍMAC|ABANCAY|TAMBURCO|-13.61728995|-72.86815363
025|UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE|PÚBLICO|LICENCIA OTORGADA|6|LIMA|LIMA|LURIGANCHO|-11.9475748|-76.7011822
117|UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|BREÑA|-12.0563001|-77.044063
134|UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|TACNA|TACNA|TACNA|-18.0165596|-70.2417025
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|6|PIURA|PIURA|CASTILLA|-5.179311|-80.6188325
047|UNIVERSIDAD DE HUÁNUCO|PRIVADO|LICENCIA OTORGADA|6|HUÁNUCO|HUÁNUCO|HUANUCO|-9.928390564|-76.2370196
074A|ASOCIACIÓN CIVIL UNIVERSIDAD CATÓLICA DE TRUJILLO BENEDICTO XVI|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|MOCHE|-8.1602468|-79.0111745
076|UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS|PÚBLICO|LICENCIA OTORGADA|6|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|-6.2335409|-77.8531651
105|UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.|PRIVADO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|HUANCAYO|-12.065578|-75.2048392
048A|UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|-17.1900294|-70.9423867
036|UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ|PRIVADO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|PUNO|SAN ROMÁN|JULIACA|-15.532748|-70.118667
111|UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AREQUIPA|AREQUIPA|YANAHUARA|-16.4029451|-71.5456437
085|UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.|PRIVADO|LICENCIA DENEGADA|0|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|-13.0723962|-76.3673923
022|UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA|PÚBLICO|LICENCIA OTORGADA|6|HUÁNUCO|LEONCIO PRADO|RUPA-RUPA|-9.313946688|-75.99658307
051|UNIVERSIDAD NACIONAL DE HUANCAVELICA|PÚBLICO|LICENCIA OTORGADA|6|HUANCAVELICA|HUANCAVELICA|HUANCAVELICA|-12.7781367|-74.9614392
112|UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AYACUCHO|HUAMANGA|AYACUCHO|-13.1483009|-74.228788
110A|UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LORETO|MAYNAS|IQUITOS|-3.7545929|-73.2471887
100|UNIVERSIDAD JAIME BAUSATE Y MEZA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|JESÚS MARÍA|-12.0849556|-77.0547406
027|UNIVERSIDAD NACIONAL DEL CALLAO|PÚBLICO|LICENCIA OTORGADA|6|CALLAO|PROV. CONST. DEL CALLAO|BELLAVISTA|-12.0612769|-77.1173082
034|UNIVERSIDAD NACIONAL DE SAN MARTÍN|PÚBLICO|LICENCIA OTORGADA|6|SAN MARTÍN|SAN MARTÍN|TARAPOTO|-6.4887639|-76.3593553
140|UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|HUAROCHIRÍ|SAN ANTONIO|-11.9103719|-76.9786611
101|UNIVERSIDAD NACIONAL DE JAÉN|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|JAÉN|JAÉN|-5.6983568|-78.8096319
122|UNIVERSIDAD NACIONAL DE CAÑETE|PÚBLICO|LICENCIA OTORGADA|6|LIMA|CAÑETE|SAN VICENTE DE CAÑETE|-13.0730626|-76.3678195
088A|UNIVERSIDAD NACIONAL TECNOLÓGICA DE LIMA SUR|PÚBLICO|LICENCIA OTORGADA|6|LIMA|LIMA|VILLA EL SALVADOR|-12.2134138|-76.9326924
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|PUNO|PUNO|PUNO|-15.8243805|-70.0162544
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|LIMA|LIMA|LIMA|-12.0560257|-77.0844226
130|UNIVERSIDAD AUTÓNOMA MUNICIPAL DE LOS OLIVOS|PÚBLICO|NINGUNO|0|LIMA|LIMA|LOS OLIVOS|-12.0003522|-77.0833903
049|UNIVERSIDAD MARCELINO CHAMPAGNAT|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.1363972|-77.0057685
145|UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.|PRIVADO|LICENCIA DENEGADA|0|JUNÍN|HUANCAYO|HUANCAYO|-12.0711983|-75.2139846
037|UNIVERSIDAD PERUANA LOS ANDES|PRIVADO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|JUNÍN|HUANCAYO|HUANCAYO|-12.0400383|-75.1924434
004|UNIVERSIDAD NACIONAL DE TRUJILLO|PÚBLICO|LICENCIA OTORGADA|8|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1142716|-79.0383735
092|UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|PUEBLO LIBRE|-12.0715043|-77.0510267
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.104061|-76.962902
099|UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.767749946|-79.83256828
098|UNIVERSIDAD NACIONAL DE JULIACA|PÚBLICO|LICENCIA OTORGADA|6|PUNO|SAN ROMÁN|JULIACA|-15.4881271|-70.1497667
106|UNIVERSIDAD NACIONAL DE FRONTERA|PÚBLICO|LICENCIA OTORGADA|6|PIURA|SULLANA|SULLANA|-4.9035311|-80.6864243
026|UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN|PÚBLICO|LICENCIA OTORGADA|6|PASCO|PASCO|YANACANCHA|-10.6683864|-76.2527205
071|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LOS OLIVOS|-12.0001412|-77.0639086
093|UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|SANTIAGO DE SURCO|-12.134611|-76.979023
096|UNIVERSIDAD AUTÓNOMA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|VILLA EL SALVADOR|-16.4495719|-71.600257
086|UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|UCAYALI|CORONEL PORTILLO|CALLERIA|-8.388089|-74.531292
107|UNIVERSIDAD DE LAMBAYEQUE S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.7745742|-79.8450745
069|UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO|PRIVADO|LICENCIA OTORGADA|6|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.760456|-79.863203
133|UNIVERSIDAD LA SALLE|PRIVADO|LICENCIA OTORGADA|6|AREQUIPA|AREQUIPA|AREQUIPA|-16.424163|-71.556192
147|UNIVERSIDAD SEMINARIO EVANGÉLICO DE LIMA|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LA MOLINA|-12.0638224|-76.9601327
084|UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA|PÚBLICO|LICENCIA OTORGADA|6|UCAYALI|CORONEL PORTILLO|YARINACOCHA|-8.3478339|-74.5906663
029|UNIVERSIDAD DE PIURA|PRIVADO|LICENCIA OTORGADA|8|PIURA|PIURA|PIURA|-5.1766923|-80.6346434
017|UNIVERSIDAD DEL PACÍFICO|PRIVADO|LICENCIA OTORGADA|8|LIMA|LIMA|JESÚS MARÍA|-12.083788|-77.0482368
046|UNIVERSIDAD PRIVADA ANTENOR ORREGO|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1270487|-79.0314756
124|UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA|PÚBLICO|LICENCIA OTORGADA|6|JUNÍN|CHANCHAMAYO|CHANCHAMAYO|-11.0565086|-75.3321123
062|UNIVERSIDAD CATÓLICA SAN PABLO|PRIVADO|LICENCIA OTORGADA|6|AREQUIPA|AREQUIPA|AREQUIPA|-16.3901384|-71.5357161
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LIMA|-12.0697607|-77.0374712
095|UNIVERSIDAD NACIONAL DE MOQUEGUA|PÚBLICO|LICENCIA OTORGADA|6|MOQUEGUA|MARISCAL NIETO|MOQUEGUA|-17.6018648|-71.3409648
119|UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1151|-79.03194
120|UNIVERSIDAD NACIONAL AUTÓNOMA DE CHOTA|PÚBLICO|LICENCIA OTORGADA|6|CAJAMARCA|CHOTA|CHOTA|-6.5617269|-78.6498912
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LIMA|-12.0648091|-77.0363951
082|UNIVERSIDAD PARA EL DESARROLLO ANDINO|PRIVADO|LICENCIA OTORGADA|6|HUANCAVELICA|ANGARAES|LIRCAY|-12.9883792|-74.7205766
045A|UNIVERSIDAD SAN PEDRO|PRIVADO|LICENCIA DENEGADA|0|ÁNCASH|SANTA|CHIMBOTE|-9.076107052|-78.5944451
116|UNIVERSIDAD SAN ANDRÉS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|INDEPENDENCIA|-11.990606|-77.0598606
139|UNIVERSIDAD NACIONAL CIRO ALEGRÍA|PÚBLICO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD) DESFAVORABLE|0|LA LIBERTAD|SÁNCHEZ CARRIÓN|HUAMACHUCO|-7.812512994|-78.04537079
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTA ANITA|-12.045948|-76.9681914
127|UNIVERSIDAD NACIONAL AUTÓNOMA ALTOANDINA DE TARMA|PÚBLICO|LICENCIA OTORGADA|6|JUNÍN|TARMA|TARMA|-11.4199114|-75.689349
115|UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|AREQUIPA|AREQUIPA|TIABAYA|-16.4495719|-71.600257
126|UNIVERSIDAD NACIONAL AUTÓNOMA DE ALTO AMAZONAS|PÚBLICO|LICENCIA OTORGADA|6|LORETO|ALTO AMAZONAS|YURIMAGUAS|-5.8974938|-76.1287268
079|UNIVERSIDAD ESAN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SANTIAGO DE SURCO|-12.1048857|-76.9616022
028|UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN|PÚBLICO|LICENCIA OTORGADA|6|LIMA|HUAURA|HUACHO|-11.1217315|-77.6067852
146|UNIVERSIDAD PRIVADA SISE S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|ATE|-12.0165774|-76.8901713
123|UNIVERSIDAD NACIONAL INTERCULTURAL FABIOLA SALAZAR LEGUÍA DE BAGUA|PÚBLICO|LICENCIA OTORGADA|6|AMAZONAS|BAGUA|BAGUA|-5.6324299|-78.534926
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.0998876|-79.0190587
142|UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|CUSCO|LA CONVENCIÓN|SANTA ANA|-12.8604607|-72.6921444
135|UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.|PRIVADO|LICENCIA DENEGADA|0|AREQUIPA|AREQUIPA|AREQUIPA|-16.4083213|-71.5281451
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|6|JUNÍN|HUANCAYO|EL TAMBO|-12.0330464|-75.237332
015|UNIVERSIDAD CATÓLICA DE SANTA MARÍA|PRIVADO|LICENCIA OTORGADA|6|AREQUIPA|AREQUIPA|AREQUIPA|-16.4061786|-71.5476298
042|UNIVERSIDAD NACIONAL DEL SANTA|PÚBLICO|LICENCIA OTORGADA|6|ÁNCASH|SANTA|NUEVO CHIMBOTE|-9.1195533|-78.5133704
020|UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.0716313|-76.9650529
128|UNIVERSIDAD NACIONAL AUTÓNOMA DE HUANTA|PÚBLICO|LICENCIA OTORGADA|6|AYACUCHO|HUANTA|HUANTA|-12.9366062|-74.243975
136|UNIVERSIDAD MARÍA AUXILIADORA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.9783448|-77.0168261
091|UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.|PRIVADO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|PUNO|PUNO|PUNO|-15.8395008|-70.0295166
108|UNIVERSIDAD DE CIENCIAS Y ARTES DE AMÉRICA LATINA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LA MOLINA|-12.0857224|-76.9086688
097|ASOCIACIÓN CIVIL UNIVERSIDAD DE CIENCIAS Y HUMANIDADES|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|LOS OLIVOS|-11.9615097|-77.0655921
089|UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS|PÚBLICO|LICENCIA OTORGADA|6|APURÍMAC|ANDAHUAYLAS|SAN JERÓNIMO|-13.6571898|-73.387931
003|UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO|PÚBLICO|LICENCIA OTORGADA|8|CUSCO|CUSCO|CUSCO|-13.52193|-71.9583208
081|UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|JESÚS MARÍA|-12.0721316|-77.0420936
138|UNIVERSIDAD NACIONAL AUTÓNOMA DE TAYACAJA DANIEL HERNÁNDEZ MORILLO|PÚBLICO|LICENCIA OTORGADA|6|HUANCAVELICA|TAYACAJA|DANIEL HERNÁNDEZ|-12.3988803|-74.8705054
035|UNIVERSIDAD NACIONAL DE UCAYALI|PÚBLICO|LICENCIA OTORGADA|6|UCAYALI|CORONEL PORTILLO|CALLERIA|-8.3948987|-74.5776093
080|UNIVERSIDAD ANTONIO RUIZ DE MONTOYA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|PUEBLO LIBRE|-12.0701464|-77.0586948
087A|UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.|PRIVADO|EN VERIFICACIÓN PRESENCIAL|0|ICA|CHINCHA|CHINCHA ALTA|-13.4156394|-76.1286726
129|UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.9835577|-77.0095209
072|UNIVERSIDAD SEÑOR DE SIPÁN S.A.C.|PRIVADO|LICENCIA OTORGADA|6|LAMBAYEQUE|CHICLAYO|PIMENTEL|-6.7950553|-79.8852178
024|UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LINCE|-12.0828451|-77.0345819
023|UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO|PÚBLICO|LICENCIA OTORGADA|6|HUÁNUCO|HUÁNUCO|PILLCO MARCA|-9.9496157|-76.2501276
078|UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|LIMA|-12.0630477|-77.0380365
132|UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA|PRIVADO|LICENCIA OTORGADA|6|LIMA|LIMA|BARRANCO|-12.1351432|-77.0221491
021|UNIVERSIDAD NACIONAL FEDERICO VILLARREAL|PÚBLICO|CON INFORME DE REVISIÓN DOCUMENTARIA (IRD)|0|LIMA|LIMA|LIMA|-12.0475424|-77.0405694
125|UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA|PÚBLICO|LICENCIA OTORGADA|6|CUSCO|LA CONVENCIÓN|SANTA ANA|-12.8566968|-72.6919329
031|UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO|PÚBLICO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|LAMBAYEQUE|LAMBAYEQUE|LAMBAYEQUE|-6.707069414|-79.90669663
002|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|PÚBLICO|LICENCIA OTORGADA|6|AYACUCHO|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339
053A|UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE|PRIVADO|CON INFORME DE OBSERVACIONES (IO) NOTIFICADO|0|ÁNCASH|SANTA|CHIMBOTE|-9.073847881|-78.59355615
007|UNIVERSIDAD NACIONAL AGRARIA LA MOLINA|PÚBLICO|LICENCIA OTORGADA|8|LIMA|LIMA|LA MOLINA|-12.0817493|-76.9431895
102|UNIVERSIDAD PERUANA DEL CENTRO|PRIVADO|EN VERIFICACIÓN PRESENCIAL|0|JUNÍN|HUANCAYO|HUANCAYO|-12.0330464|-75.237332
118|UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.|PRIVADO|LICENCIA DENEGADA|0|LIMA|LIMA|ATE|-12.0211306|-76.9037173
033|UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO|PÚBLICO|LICENCIA OTORGADA|6|ÁNCASH|HUARAZ|INDEPENDENCIA|-9.517640566|-77.52456668
|||||||||
